word_fr;word_en;phrase_fr;phrase_en
coupe;bowl, dish, cut; votre coupe jamais ne sera vide ; your bowl will never be empty 
rayon;"ray, beam, radius; department, section, shelf"; un rayon de lune traversait la chambre ; a moonbeam shone across the room 
lèvre;lip; je regardai ses lèvres pleines et roses ; I looked at her full, pink lips 
promener;to take for a walk, go for a walk; les amis se promènent dans la rue ; the friends are walking along the street 
boulot;work, job; il a un boulot très sérieux dans l'informatique ; he has an important job in computer science 
correctement;properly; faisons les choses correctement ; let's do things correctly 
colonne;column; des colonnes de fumée s'élevaient au-dessus des arbres ; columns of smoke rose above the trees
arranger;to arrange; c'est moi qui ai tout arrangé ; I'm the one who arranged everything 
lointain;distant, faraway; on voulait aller dans une terre lointaine ; we wanted to go to a faraway land 
danser;to dance; je danserai avec toi, le soir de nos noces ; I will dance with you, on our wedding night 
charbon;coal; la production de charbon est en train de chuter ; coal production is falling off 
passionner;to fascinate, grip; je suis passionné de mon travail ; I'm passionate about my work 
colline;hill; arrivée au sommet de la colline, elle s'arrêta ; reaching the top of the hill, she stopped 
poésie;poetry; la poésie est souvent dite de façon ennuyeuse ; poetry is often recited boringly 
généraliser;to generalize; il faudrait généraliser ce type d'initiatives ; we would need to generalize this type of initiative 
transaction;transaction; le montant de la transaction n'a pas été dévoilé ; the amount of the transaction was not revealed
extrémité;end, extremity; l'un d'eux attachait l'autre extrémité ; one of them grasped the other end 
pénal;penal; il permet la clôture des procédures pénales ; it allows for termination of criminal proceedings 
économiste;economist; je ne connais pas un seul économiste ; I don't know a single economist 
banlieue;suburbs, outskirts; on a toujours habité en banlieue ; we have always lived in the suburbs 
bancaire;banking; l'entreprise offre des services bancaires aux particuliers et aux sociétés ; the firm offers banking services to individuals and to companies
défaire;to undo, dismantle, strip, break up; mon lacet est défait, comme d'habitude ; my shoelace is undone, as usual 
calendrier;calendar; nous devrions respecter notre calendrier ; we should respect our calendar 
repas;meal; c'est le repas kasher? oui, kasher ; it's a kosher meal? yes, kosher 
cul;bum, arse, ass; je vais lui botter le cul ; I'm gonna kick his ass 
vouer;to devote, dedicate to, vow to; nous leur vouons un grand respect ; we pay them great respect 
surprenant;surprising; le contraire aurait été moins surprenant ; the opposite would have been less surprising 
paradis;paradise, heaven; tu aimes notre coin de paradis? ; do you like our corner of paradise? 
transparent;transparent, see-through, evident; il faut que les choses soient transparentes ; things must be transparent 
élu;elected, elected member; j'exprime ma déception auprès des élus politiques ; I express my disappointment to the elected officials
tourisme;tourism, sightseeing; le tourisme culturel est très important ; cultural tourism is very important 
démonstration;demonstration; il a répondu par une démonstration de force ; he responded with a demonstration of force 
gravement;seriously, solemnly, gravely; deux maisons ont été gravement endommagées ; two houses were seriously damaged 
infraction;offence, infrigement, infraction; ceux qui commettent des infractions doivent payer ; those who break the law must pay 
tir;fire, shot, launch; il y a eu des tirs dans le couloir ; there were shots fired in the hallway 
envoi;sending, dispatching; il faut empêcher l'envoi de ces signaux ; you must stop sending these signals 
arrangement;arrangement, layout, order, agreement; j'ai conclu un arrangement avec le diable ; I made an agreement with the devil 
pardonner;to forgive, excuse; si tu m'aimes vraiment, pardonne-moi ; if you really love me, forgive me 
collaborer;to collaborate, contribute; ce groupe de travail a collaboré avec toutes sortes de spécialistes ; this work group collaborated with all kinds of specialists
danse;dance, dancing; m'accorderez-vous cette danse? ; may I have this dance? 
tester;to test; opératrice, veuillez tester ce numéro ; operator, please test this number 
proclamer;to proclaim, declare; les résultats officiels seront proclamés samedi ; the official results will be announced Saturday
genou;knee; la victime était à genoux devant le chien ; the victim was kneeling in front of the dog 
dominant;dominant, prevailing; dans toute relation il y a un dominant et un dominé ; in every relation there is dominator and a dominee
péril;peril; aujourd'hui, notre porte-parole est en péril ; today our spokesman is in danger 
préférence;preference, preferably; ma préférence va toujours et encore à la poésie ; my preference is still and forever poetry 
vain;vain; j'ai tout essayé ... mais en vain ; I tried everything ... but in vain 
rentrée;reopening, return, start; j'attendis la rentrée avec impatience ; I awaited the reopening of school impatiently 
coller;to stick, paste; les timbres étaient bien collés sur ces cartes postales ; the stamps were securely stuck onto these postcards
monopole;monopoly; nul n'a le monopole des bonnes idées ; no one has the monopoly on good ideas 
approfondir;to deepen, make deeper, go further into; le sujet mérite donc d'être approfondi ; the subject therefore deserves further study 
incendie;fire, blaze; les pompiers ont maitrisé tous les incendies ; the firemen brought all of the fires under control
proximité;proximity, nearness, closeness; ils restaient à proximité ; they stayed close by 
hélicoptère;helicopter; des hélicoptères survolaient l'ambassade ; helicopters were flying over the embassy 
bouteille;bottle; j'ai cassé une bouteille de bière ; I broke a beer bottle 
championnat;championship;elle a participé à 15 championnats canadiens en neuf ans;she participated in 15 Canadian championships in nine years
hériter;to inherit; sa femme héritait des dettes ; his wife inherited debts 
élémentaire;elementary, rudimentary, basic; il posait des questions élémentaires ; he asked very basic questions 
entité;entity; ce ne sont pas des entités commerciales ; these are not commercial entities 
souffler;to blow, puff; vous êtes là où le vent souffle ; you're there where the wind blows 
dit;"said, so-called; tale"; l'OTAN s'est transformée en organisation dite « de sécurité » ;" NATO transformed into a socalled ""security"" organization "
mélange;mixing, mixture, blend; il m'écouta avec un mélange de crainte et d'admiration ; he listened to me with a mixture of fear and admiration
pourcentage;percentage, commission, cut; elles calculent les pourcentages sur leurs profits ; they calculate the percentages on their profits
permis;license, permit, permitted; vos papiers? pièce d'identité, permis de conduire ; your papers? identity card, driver's license 
mélanger;to mix, mix up, confuse; il mélangeait un peu les dates ; he got the dates a little bit mixed up 
proprement;cleanly, neatly, properly; je trouve cela proprement scandaleux ; I find that properly scandalous 
enfoncer;to ram, drive in, hammer in, sink in; commencons par enfoncer les portes ; let's start by knocking down the doors 
clandestin;underground, clandestine; le flux des immigrés clandestins en Espagne n'a cessé de grossir ; the flow of illegal immigrants in Spain grew unchecked
super;great; si vous pouviez, ce serait super ; if you could, that would be great 
encontre;contrary to; tu ne peux pas aller à l'encontre de sa personnalité ; you can't go contrary to his personality 
syndical;(trade-) union; le mouvement syndical devra lui aussi être aidé ; the union movement will also have to be helped
deviner;to guess, solve; sa tête baissée laissait deviner une calvitie naissante ; his bowed head betrayed the onset of balding
tracer;to draw, write, mark out; la voie est tracée mais elle est difficile ; the route is marked but it is difficult 
